LNL,LNN,LNS,LHL,LHN,LHS,MNL,MNN,MNS,MHL,MHN,MHS,HNL,HNN,HNS,HHL,HHN,HHS
0.10256410256410256,0.12895486579697105,0.055180686759634126,0.017393912130754235,0.02549107812265707,0.009746588693957114,0.16149347728295096,0.2129254760833708,0.08981856350277403,0.029539661118608486,0.03673714200029989,0.014844804318488529,0.036137351926825614,0.04258509521667416,0.020542810016494228,0.005847953216374269,0.005548058179637127,0.004648373069425701
0.10683396272383969,0.1321720063345109,0.06078694116213912,0.02168351808990133,0.02229260567669631,0.00901449628456572,0.15982458277500305,0.20051163357290777,0.08600316725545133,0.02619076623218419,0.037154342794493846,0.017298087464977463,0.03849433548544281,0.045925204044341576,0.020221707881593373,0.00548178828115483,0.0064563284200268,0.003654525520769887
0.10442429238801869,0.14317120087936247,0.0615553723550426,0.01731244847485573,0.024457268480351745,0.010167628469359714,0.15608683704314372,0.20005496015388843,0.08931025006870019,0.02720527617477329,0.031052486946963453,0.017587249244297883,0.038746908491343775,0.038197306952459466,0.023358065402583127,0.006870019236053861,0.006320417697169552,0.004122011541632316
0.09669211195928754,0.1280746395250212,0.04495335029686175,0.018659881255301103,0.02714164546225615,0.016115351993214587,0.1806615776081425,0.1984732824427481,0.08142493638676845,0.027989821882951654,0.0364715860899067,0.017811704834605598,0.039016115351993216,0.04664970313825276,0.017811704834605598,0.006785411365564037,0.01272264631043257,0.002544529262086514
0.11014686248331108,0.1348464619492657,0.048731642189586116,0.019359145527369826,0.028037383177570093,0.009345794392523364,0.16088117489986647,0.19893190921228304,0.102803738317757,0.022696929238985315,0.04072096128170895,0.010680907877169559,0.0260347129506008,0.04472630173564753,0.015353805073431242,0.010013351134846462,0.010013351134846462,0.006675567423230975
0.11326378539493294,0.13263785394932937,0.06408345752608048,0.020864381520119227,0.029806259314456036,0.00894187779433681,0.17138599105812222,0.19672131147540983,0.08345752608047691,0.03129657228017884,0.03278688524590164,0.011922503725782414,0.026825633383010434,0.05067064083457526,0.013412816691505217,0.005961251862891207,0.0029806259314456036,0.0029806259314456036
0.1069426037312672,0.1294729330206953,0.058823529411764705,0.01886023040065246,0.02293811805484759,0.011418085431746355,0.15332857579773676,0.20511774900601487,0.08940768681822815,0.028647160770720766,0.03792435518401468,0.017127128147619533,0.032826995616270775,0.047609338362728106,0.021001121419104905,0.006932409012131715,0.008461616882454889,0.0031603629320012235
0.10149750415973377,0.1336661120354964,0.05776087473258854,0.017510498375723,0.025433800808176848,0.012281118770303462,0.15703985421123523,0.20442120275730924,0.08858252119483401,0.02789002456223754,0.03486253070279693,0.01711433325410031,0.03771491957848031,0.04928294112986293,0.018382061643292924,0.005229379605419538,0.008319467554076539,0.0030108549243324616
0.11122956645344705,0.1297085998578536,0.05561478322672352,0.020788912579957356,0.026474769012082445,0.009417199715707179,0.15493958777540867,0.20167022032693674,0.08546552949538024,0.030206112295664535,0.04175550817341862,0.01457000710732054,0.03660270078180526,0.04442075337597726,0.018834399431414357,0.005863539445628998,0.009594882729211088,0.0028429282160625444
0.10997732426303855,0.13378684807256236,0.07596371882086168,0.021541950113378686,0.01870748299319728,0.009070294784580499,0.15136054421768708,0.1893424036281179,0.08786848072562359,0.02947845804988662,0.036848072562358274,0.013038548752834467,0.032879818594104306,0.053854875283446714,0.015873015873015872,0.0045351473922902496,0.011337868480725623,0.0045351473922902496
